ID,旧ID(内部ドラフト・変更時のみ),原文書ID,区分,カテゴリ,コントロール名,status,lineage,control-type,ai-scope
AIMF-GV-ORG-001,AIMF-ID-ORG-001,aimf-1.1.1,GV,ORG,AIガバナンス委員会の設置,existing,baseline,AI-Enhancement,all
AIMF-GV-ORG-002,AIMF-ID-ORG-002,aimf-1.1.2,GV,ORG,AI活用基本方針・ガイドラインの策定,existing,baseline,AI-Enhancement,all
AIMF-GV-ORG-003,AIMF-ID-ORG-003,aimf-1.1.3,GV,ORG,AIリスクアセスメント・プロジェクト承認プロセスの構築,existing,baseline,AI-Enhancement,all
AIMF-GV-ORG-004,AIMF-ID-ORG-004,aimf-1.1.4,GV,ORG,AIセキュリティ文化の醸成,existing,baseline,AI-Enhancement,all
AIMF-GV-ORG-005,AIMF-ID-ORG-005,aimf-1.1.5,GV,ORG,AIセキュリティの社内コミュニケーション強化,existing,baseline,AI-Enhancement,all
AIMF-GV-ORG-006,,,GV,ORG,AI統括責任者（CAIO/AIセキュリティ責任者）の任命,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-ORG-007,,,GV,ORG,AIセキュリティ予算・リソースの確保,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-ORG-008,,,GV,ORG,AIライフサイクル全体のRACI定義,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-ORG-009,,,GV,ORG,AI倫理審査との連携プロセス,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-POL-001,,,GV,POL,AIポリシースイートの体系化,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-POL-002,,,GV,POL,生成AI利用細則（入力禁止情報・プロンプト取扱規程）,gap-recommended,extended,AI-Expansion,generative-ai
AIMF-GV-POL-003,,,GV,POL,承認済みAIサービスカタログと例外管理,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-POL-004,,,GV,POL,AIサービス利用規約・提供条件の遵守管理,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-POL-005,,,GV,POL,ポリシーの技術進化への追随レビュー,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-RSM-001,,aimf-gv-01,GV,RSM,AIリスクマネジメントプロセスの体系化,gap-recommended,baseline,AI-Enhancement,all
AIMF-GV-RSM-002,,aimf-gv-02,GV,RSM,AIシステム影響評価（AIIA）の実施,gap-recommended,baseline,AI-Expansion,all
AIMF-GV-RSM-003,,aimf-gv-03,GV,RSM,AIシステムのリスク分類・階層化,gap-recommended,baseline,AI-Expansion,all
AIMF-GV-RSM-004,,,GV,RSM,AIリスク登録簿の整備・維持,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-RSM-005,,,GV,RSM,リスク受容基準と残存リスクの承認,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-RSM-006,,,GV,RSM,脅威情報に基づくAIリスク評価,gap-recommended,extended,AI-Expansion,all
AIMF-GV-RSM-007,,,GV,RSM,エージェントAI導入前の限定リスク評価,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-GV-RSM-008,,,GV,RSM,AIリスクKRIとエスカレーション閾値,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-LGL-001,AIMF-ID-LGL-001,aimf-1.4.1,GV,LGL,AI法規制遵守の継続的確認,existing,baseline,AI-Enhancement,all
AIMF-GV-LGL-002,AIMF-ID-LGL-002,aimf-1.4.2,GV,LGL,知的財産（著作権・特許）リスク評価,existing,baseline,AI-Expansion,generative-ai
AIMF-GV-LGL-003,AIMF-ID-LGL-003,aimf-1.4.3,GV,LGL,シャドーデータの徹底的なクレンジング,existing,baseline,AI-Enhancement,generative-ai
AIMF-GV-LGL-004,,,GV,LGL,EU AI Act遵守プログラム,gap-recommended,extended,AI-Expansion,all
AIMF-GV-LGL-005,,,GV,LGL,越境データ移転・域外適用の評価,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-AUD-001,,aimf-gv-04,GV,AUD,内部監査・マネジメントレビュー,gap-recommended,baseline,AI-Enhancement,all
AIMF-GV-AUD-002,,,GV,AUD,AI固有の内部監査手続の整備,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-AUD-003,,,GV,AUD,第三者認証・外部評価の取得,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-AUD-004,,,GV,AUD,AIセキュリティ成熟度の定期評価,gap-recommended,extended,AI-Expansion,all
AIMF-GV-TRA-001,,aimf-gv-05,GV,TRA,透明性・利用者への情報提供,gap-recommended,baseline,AI-Expansion,"generative-ai,ai-agent"
AIMF-GV-TRA-002,,aimf-gv-06,GV,TRA,技術文書・モデルカードの整備,gap-recommended,baseline,AI-Expansion,all
AIMF-GV-TRA-003,,,GV,TRA,AI生成コンテンツの来歴表示（C2PA等）,gap-recommended,extended,AI-Expansion,generative-ai
AIMF-GV-TRA-004,,,GV,TRA,利用者からの苦情・異議申立て窓口,gap-recommended,extended,AI-Enhancement,all
AIMF-GV-TRA-005,,,GV,TRA,対外的なAIガバナンス開示,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-AST-001,,aimf-1.2.1,ID,AST,AIモデル・サービス管理台帳の整備,existing,baseline,AI-Enhancement,all
